time,open,high,low,close
2018-01-30T00:00:00Z,11141.41,11185.2575,10801.51,10926.4675
2018-01-30T12:00:00Z,10938.3,10968.6675,9735.81,9988.305
2018-01-31T00:00:00Z,9989.605,10295.245,9552.6075,10217.03
2018-01-31T12:00:00Z,10217.12,10313.4975,9754.9175,10115.7975
2018-02-01T00:00:00Z,10117.77,10160.26,9371.6275,9465.57
2018-02-01T12:00:00Z,9462.9525,9534.515,8450.975,9012.8875
2018-02-02T00:00:00Z,9017.205,9023.82,7888.3775,7978.7475
2018-02-02T12:00:00Z,7979.2325,9097.4725,7593.5625,8811.005
2018-02-03T00:00:00Z,8800.3925,9025.0025,8108.7525,9010.81
2018-02-03T12:00:00Z,9015.2925,9474.33,8895.395,9213.725
2018-02-04T00:00:00Z,9213.055,9346.6225,8672.825,8680.63
2018-02-04T12:00:00Z,8679.9725,8869.0725,7821.3,8163.0125
2018-02-05T00:00:00Z,8164.595,8342.005,7517.6725,7548.82
2018-02-05T12:00:00Z,7549.71,7797.6325,6518.4875,6878.9575
2018-02-06T00:00:00Z,6878.5575,7080.35,5894.085,6457.0075
2018-02-06T12:00:00Z,6455.6925,7984.935,6387.045,7696.395
2018-02-07T00:00:00Z,7700.555,8343.915,7197.1975,8254.255
2018-02-07T12:00:00Z,8255.5025,8626.15,7527.425,7576.405
2018-02-08T00:00:00Z,7577.425,8597.4475,7560.75,8484.59
2018-02-08T12:00:00Z,8486.8725,8632.2125,8032.7425,8227.215
2018-02-09T00:00:00Z,8229.2975,8350.715,7751.7475,8259.21
2018-02-09T12:00:00Z,8259.8725,8724.0075,8176.275,8685.7175
2018-02-10T00:00:00Z,8685.915,9076.25,8549.775,8669.1175
2018-02-10T12:00:00Z,8673.1275,8820.385,8156.785,8554.1725
2018-02-11T00:00:00Z,8553.745,8559.8275,7841.965,8190.6
2018-02-11T12:00:00Z,8188.7575,8482.03,8019.8825,8067.4975
2018-02-12T00:00:00Z,8072.7625,8844.375,8067.6425,8663.83
2018-02-12T12:00:00Z,8660.0725,8979.2125,8523.925,8894.395
2018-02-13T00:00:00Z,8889.6225,8937.6475,8381.8825,8521.58
2018-02-13T12:00:00Z,8527.6725,8736.1375,8453.7675,8519.9425
2018-02-14T00:00:00Z,8515.9125,8953.625,8515.76,8946.8275
2018-02-14T12:00:00Z,8950.525,9506.825,8942.2675,9483.4825
2018-02-15T00:00:00Z,9479.985,9972.565,9345.18,9616.4775
2018-02-15T12:00:00Z,9616.4125,10242.3025,9612.2325,10025.8525
2018-02-16T00:00:00Z,10024.95,10307.695,9709.3425,9824.445
2018-02-16T12:00:00Z,9828.33,10227.77,9789.72,10183.905
2018-02-17T00:00:00Z,10185.515,10888.8225,10051.7325,10750.5575
2018-02-17T12:00:00Z,10753.2375,11132.4575,10532.71,11105.625
2018-02-18T00:00:00Z,11110.27,11292.8625,10168.2875,10650.995
2018-02-18T12:00:00Z,10651.63,10931.06,10367.17,10408.5275
2018-02-19T00:00:00Z,10413.595,11061.56,10323.085,10962.2175
2018-02-19T12:00:00Z,10966.1325,11263.8975,10866.5975,11161.255
2018-02-20T00:00:00Z,11159.1375,11640.32,11153.475,11430.415
2018-02-20T12:00:00Z,11432.91,11767.5225,11060.84,11229.375
2018-02-21T00:00:00Z,11231.2975,11284.565,10660.32,10954.0575
2018-02-21T12:00:00Z,10957.4225,11136.995,10248.4475,10461.6925
2018-02-22T00:00:00Z,10463.125,10937.4225,10099.3725,10268.0875
2018-02-22T12:00:00Z,10266.7075,10333.0075,9725.3575,9835.875
2018-02-23T00:00:00Z,9833.5425,10250.105,9580.5825,10202.705
2018-02-23T12:00:00Z,10200.715,10404.29,9843.0325,10157.6025
2018-02-24T00:00:00Z,10145.325,10520.1575,9673.46,9792.8525
2018-02-24T12:00:00Z,9793.55,9859.1825,9376.525,9690.955
2018-02-25T00:00:00Z,9690.5225,9872.6275,9501.0575,9660.1675
2018-02-25T12:00:00Z,9662.5275,9701.04,9305.925,9590.7575
2018-02-26T00:00:00Z,9592.1075,9788.6175,9393.7775,9747.925
2018-02-26T12:00:00Z,9747.925,10453.3975,9651.5525,10311.7
2018-02-27T00:00:00Z,10314.195,10784.44,10131.1825,10699.7075
2018-02-27T12:00:00Z,10698.05,10855.9925,10477.2925,10561.5825
2018-02-28T00:00:00Z,10564.57,11052.2625,10469.76,10556.27
2018-02-28T12:00:00Z,10558.7175,10686.7425,10261.2175,10306.8075
2018-03-01T00:00:00Z,10307.0275,10740.2575,10217.36,10654.915
2018-03-01T12:00:00Z,10654.7925,11073.5725,10620.2925,10905
2018-03-02T00:00:00Z,10908.51,11175.7525,10832.0225,10906.5425
2018-03-02T12:00:00Z,10907.08,11107.8075,10781.73,11022.265
2018-03-03T00:00:00Z,11022.7575,11382.285,11022.755,11278.1625
